Kingdom,Phylum,Class,Order,Family,Genus,Species,Total_reads,Total_samples
Eukaryota,Chordata,Actinopteri,Alepocephaliformes,Platytroctidae,Holtbyrnia,s_,7361,9
Eukaryota,Chordata,Actinopteri,Alepocephaliformes,Platytroctidae,Sagamichthys,Sagamichthys abei,15304,11
Eukaryota,Chordata,Actinopteri,Anabantiformes,Channidae,g_,s_,72,1
Eukaryota,Chordata,Actinopteri,Argentiniformes,Argentinidae,g_,s_,26340,21
Eukaryota,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Bathylagus,Bathylagus pacificus,170,10
Eukaryota,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,Leuroglossus schmidti,792492,206
Eukaryota,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,s_,11,4
Eukaryota,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,Lipolagus ochotensis,365052,154
Eukaryota,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Lipolagus,s_,2,1
Eukaryota,Chordata,Actinopteri,Argentiniformes,Bathylagidae,Pseudobathylagus,Pseudobathylagus milleri,14998,27
Eukaryota,Chordata,Actinopteri,Aulopiformes,Paralepididae,Arctozenus,Arctozenus risso,28,1
Eukaryota,Chordata,Actinopteri,Aulopiformes,Paralepididae,g_,s_,154,2
Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Cololabis,Cololabis saira,3552,5
Eukaryota,Chordata,Actinopteri,Beryciformes,Melamphaidae,Scopelogadus,s_,14903,24
Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,Seriola lalandi,95,21
Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,s_,1,1
Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,unassigned,1,1
Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,22288,39
Eukaryota,Chordata,Actinopteri,Carangiformes,Coryphaenidae,Coryphaena,Coryphaena hippurus,3,2
Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,Sardinops melanostictus,98790,105
Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,unassigned,unassigned,7,4
Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,6169388,245
Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,s_,233,58
Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,g_,s_,40,17
Eukaryota,Chordata,Actinopteri,Gadiformes,Macrouridae,Malacocephalus,unassigned,89,4
Eukaryota,Chordata,Actinopteri,Gadiformes,Macrouridae,unassigned,unassigned,1386,4
Eukaryota,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,808402,228
Eukaryota,Chordata,Actinopteri,Lampriformes,Lampridae,Lampris,Lampris guttatus,16119,4
Eukaryota,Chordata,Actinopteri,Lampriformes,Trachipteridae,Trachipterus,unassigned,103524,38
Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,g_,s_,3,2
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta,1089044,210
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,s_,25,1
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,Lampanyctus tenuiformis,13202,44
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Nannobrachium,unassigned,5971,11
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Protomyctophum,unassigned,3719,5
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,924723,243
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Symbolophorus,Symbolophorus californiensis,5074,8
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,Tarletonbeania crenularis,4069,28
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,unassigned,1,1
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Triphoturus,Triphoturus mexicanus,373,3
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,Triphoturus,s_,23,1
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,g_,s_,288,22
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,unassigned,s_,15,1
Eukaryota,Chordata,Actinopteri,Myctophiformes,Myctophidae,unassigned,unassigned,86,2
Eukaryota,Chordata,Actinopteri,Myctophiformes,Neoscopelidae,Scopelengys,Scopelengys tristis,6273,8
Eukaryota,Chordata,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,2,2
Eukaryota,Chordata,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,9,8
Eukaryota,Chordata,Actinopteri,Perciformes,Liparidae,Nectoliparis,Nectoliparis pelagicus,2968,7
Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes paucispinis,4609,19
Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,s_,13,1
Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,unassigned,208150,143
Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,unassigned,unassigned,2328,7
Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,g_,s_,1,1
Eukaryota,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodes,Lycodes cortezianus,121,2
Eukaryota,Chordata,Actinopteri,Perciformes,Zoarcidae,Melanostigma,Melanostigma atlanticum,57,4
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,43499,78
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,2706,19
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,s_,1,1
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,8928,15
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,109073,27
Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys decurrens,2,1
Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,6,6
Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,24780,3
Eukaryota,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,unassigned,3239,9
Eukaryota,Chordata,Actinopteri,Scombriformes,Centrolophidae,Icichthys,Icichthys lockingtoni,86346,41
Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,unassigned,53595,70
Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomberomorus,unassigned,1583,5
Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,9,8
Eukaryota,Chordata,Actinopteri,Scombriformes,Stromateidae,Peprilus,Peprilus medius,15,10
Eukaryota,Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,Cyclothone acclinidens,53246,29
Eukaryota,Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,Cyclothone signata,899,7
Eukaryota,Chordata,Actinopteri,Stomiiformes,Stomiidae,Chauliodus,Chauliodus macouni,214,3
Eukaryota,Chordata,Actinopteri,Stomiiformes,Stomiidae,Idiacanthus,Idiacanthus antrostomus,6,4
Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Molidae,Mola,unassigned,41593,46
Eukaryota,Chordata,Actinopteri,unassigned,unassigned,g_,s_,3,2
Eukaryota,Chordata,Actinopteri,unknown,Moronidae,Morone,Morone saxatilis,946,4
Eukaryota,Chordata,Actinopteri,unknown,Sciaenidae,Genyonemus,Genyonemus lineatus,12257,23
Eukaryota,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,unassigned,28,2
Eukaryota,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Apristurus,Apristurus brunneus,270,2
Eukaryota,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,49172,41
Eukaryota,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Alopias,Alopias vulpinus,12,1
Eukaryota,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,unassigned,2002,18
Eukaryota,Chordata,Mammalia,Carnivora,Otariidae,Zalophus,Zalophus californianus,504,7
Eukaryota,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,292,2
Eukaryota,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera musculus,614,3
Eukaryota,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,Megaptera novaeangliae,18025,48
Eukaryota,Chordata,Mammalia,Cetacea,Delphinidae,Grampus,Grampus griseus,1167,7
Eukaryota,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,Orcinus orca,163,4
Eukaryota,Chordata,Mammalia,Cetacea,Delphinidae,g_,s_,400,2
Eukaryota,Chordata,Mammalia,Cetacea,Delphinidae,unassigned,unassigned,25061,82
Eukaryota,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Physeter catodon,12,1
Eukaryota,Chordata,Mammalia,Cetacea,Ziphiidae,Berardius,Berardius bairdii,2109,8
Eukaryota,Chordata,Mammalia,Cetacea,Ziphiidae,Ziphius,Ziphius cavirostris,25621,14
Eukaryota,Chordata,Mammalia,Cetacea,Ziphiidae,g_,s_,88,3
Eukaryota,Chordata,Mammalia,Cetacea,unassigned,g_,s_,71,4
Eukaryota,Chordata,Mammalia,unassigned,unassigned,g_,s_,6,1
Eukaryota,Chordata,Myxini,Myxiniformes,Myxinidae,Eptatretus,unassigned,8,2
